id,胜,平,负,胜概率,平概率,负概率,返概率,凯利走势1,凯利走势2,凯利走势3
500665,1.85,3.59,4.27,51.32,26.45,22.23,94.94,0.95,0.95,0.95
500293,5.25,3.78,1.67,18.07,25.10,56.82,94.89,0.95,0.95,0.95
500664,3.04,3.5,2.28,31.23,27.13,41.64,94.94,0.95,0.95,0.95
2626284,8.77,5.24,1.32,10.73,17.96,71.31,94.12,0.94,0.94,0.94
500294,2.63,3.43,2.63,36.14,27.71,36.14,95.06,0.95,0.95,0.95
2626764,8.84,5.17,1.32,10.63,18.18,71.19,93.97,0.94,0.94,0.94
500297,1.22,6.39,13.31,77.97,14.89,7.15,95.12,0.95,0.95,0.95
500875,2.12,3.39,3.52,44.89,28.07,27.04,95.17,0.95,0.95,0.95
500490,2.1,3.14,3.86,45.19,30.22,24.59,94.90,0.95,0.95,0.95
500299,2.65,3.18,2.78,35.89,29.91,34.21,95.10,0.95,0.95,0.95
500489,2.22,3.47,3.22,42.93,27.47,29.60,95.31,0.95,0.95,0.95
500292,4.22,3.52,1.88,22.50,26.98,50.52,94.97,0.95,0.95,0.95
500668,3.48,3.9,1.96,27.26,24.33,48.41,94.88,0.95,0.95,0.95
500483,3.67,3.35,2.08,25.91,28.38,45.71,95.08,0.95,0.95,0.95
500880,1.73,3.77,4.85,55.08,25.27,19.65,95.29,0.95,0.95,0.95
500663,1.38,5.04,7.77,68.90,18.86,12.24,95.08,0.95,0.95,0.95
2636153,2.67,2.95,2.76,34.81,31.51,33.68,92.95,0.93,0.93,0.93
2636155,3.79,3.27,1.99,24.61,28.52,46.87,93.27,0.93,0.93,0.93
501620,2.65,2.87,2.85,35.05,32.36,32.59,92.88,0.93,0.93,0.93
502788,2.08,3.1,3.95,45.51,30.53,23.96,94.65,0.95,0.95,0.95
502789,1.19,6.62,15.39,79.55,14.30,6.15,94.66,0.95,0.95,0.95
502808,3.15,2.92,2.47,29.81,32.16,38.02,93.92,0.94,0.94,0.94
502804,1.54,3.7,6.92,61.02,25.40,13.58,93.97,0.94,0.94,0.94
501623,7.12,3.9,1.47,13.04,23.80,63.16,92.84,0.93,0.93,0.93
502790,1.29,5.54,9.88,73.35,17.08,9.58,94.62,0.95,0.95,0.95
502786,2.69,2.91,2.94,35.22,32.56,32.22,94.74,0.95,0.95,0.95
502805,1.12,8.75,18.24,84.08,10.76,5.16,94.16,0.94,0.94,0.94
502806,1.35,4.73,9.03,69.69,19.89,10.42,94.08,0.94,0.94,0.94
2636156,2.24,2.95,3.51,41.71,31.67,26.62,93.43,0.93,0.93,0.93
2636154,2.11,3.16,3.51,44.07,29.43,26.50,93.00,0.93,0.93,0.93
2636838,1.83,3.33,4.41,50.90,27.97,21.12,93.15,0.93,0.93,0.93
2636836,3.52,3.02,2.25,26.81,31.25,41.94,94.37,0.94,0.94,0.94
502807,1.16,7.08,16.45,81.01,13.27,5.71,93.98,0.94,0.94,0.94
2636837,1.68,3.49,5.43,55.84,26.88,17.28,93.81,0.94,0.94,0.94
522309,1.12,8.95,17.84,84.18,10.53,5.28,94.28,0.94,0.94,0.94
2636842,1.84,3.39,4.4,51.00,27.68,21.33,93.83,0.94,0.94,0.94
2636832,2.17,3.06,3.5,42.93,30.45,26.62,93.17,0.93,0.93,0.93
2636828,1.42,4.32,7.67,66.06,21.71,12.23,93.80,0.94,0.94,0.94
2636840,1.16,6.8,17.3,80.80,13.78,5.42,93.73,0.94,0.94,0.94
2636825,2.98,2.9,2.54,31.24,32.10,36.65,93.10,0.93,0.93,0.93
2636815,1.67,3.51,5.26,55.76,26.53,17.70,93.13,0.93,0.93,0.93
2636822,1.66,3.53,5.36,56.18,26.42,17.40,93.26,0.93,0.93,0.93
2636831,1.5,3.91,6.78,62.31,23.90,13.79,93.47,0.93,0.93,0.93
2636824,2.93,2.94,2.57,31.88,31.77,36.35,93.41,0.93,0.93,0.93
2636857,2.49,3.14,2.84,37.46,29.70,32.84,93.27,0.93,0.93,0.93
2636858,1.26,5.34,11.09,74.10,17.48,8.42,93.36,0.93,0.93,0.93
2636855,1.18,6.68,14.43,79.46,14.04,6.50,93.77,0.94,0.94,0.94
2636849,2.04,3.27,3.68,45.91,28.64,25.45,93.66,0.94,0.94,0.94
501630,1.86,3.17,4.41,49.79,29.21,21.00,92.61,0.93,0.93,0.93
2636852,2.82,2.97,2.63,33.09,31.42,35.48,93.32,0.93,0.93,0.93
2636859,1.42,4.28,7.47,65.71,21.80,12.49,93.31,0.93,0.93,0.93
2636847,1.62,3.68,5.59,57.80,25.45,16.75,93.64,0.94,0.94,0.94
2636864,1.12,8.29,20.99,84.14,11.37,4.49,94.24,0.94,0.94,0.94
2636863,1.14,7.28,19.3,82.26,12.88,4.86,93.78,0.94,0.94,0.94
2636853,1.36,4.68,8.24,68.70,19.96,11.34,93.43,0.93,0.93,0.93
2636860,2.73,2.83,2.85,34.22,33.01,32.78,93.41,0.93,0.93,0.93
2636862,2.33,3.57,2.79,40.20,26.23,33.57,93.66,0.94,0.94,0.94
2636848,1.41,4.21,8.01,66.18,22.17,11.65,93.32,0.93,0.93,0.93
500884,14.41,6.55,1.21,6.62,14.56,78.82,95.37,0.95,0.95,0.95
500671,2.38,3.66,2.79,39.95,25.98,34.08,95.07,0.95,0.95,0.95
500883,1.49,4.14,7.22,63.85,22.98,13.18,95.13,0.95,0.95,0.95
500498,4.85,4.06,1.67,19.61,23.43,56.96,95.12,0.95,0.95,0.95
500892,3.01,3.05,2.56,31.62,31.20,37.18,95.17,0.95,0.95,0.95
500887,2.42,3.58,2.79,39.32,26.58,34.10,95.15,0.95,0.95,0.95
500679,3.18,3.27,2.31,29.86,29.04,41.10,94.95,0.95,0.95,0.95
500672,1.38,5.1,8.31,69.61,18.83,11.56,96.06,0.96,0.96,0.96
500885,1.38,4.71,9.05,69.18,20.27,10.55,95.47,0.95,0.95,0.95
500308,4.01,3.42,1.97,23.76,27.86,48.37,95.29,0.95,0.95,0.95
500492,1.38,4.6,9.17,68.94,20.68,10.38,95.14,0.95,0.95,0.95
500495,4.16,3.66,1.86,22.87,25.99,51.14,95.13,0.95,0.95,0.95
500677,1.49,4.53,6.18,63.69,20.95,15.36,94.90,0.95,0.95,0.95
500889,1.57,4.34,5.54,60.78,21.99,17.23,95.43,0.95,0.95,0.95
501072,2.55,2.94,3.08,37.10,32.18,30.72,94.61,0.95,0.95,0.95
500494,1.93,3.39,4.15,49.15,27.98,22.86,94.87,0.95,0.95,0.95
500311,1.93,3.36,4.25,49.30,28.32,22.39,95.14,0.95,0.95,0.95
500309,4.5,3.75,1.78,21.15,25.38,53.47,95.18,0.95,0.95,0.95
500497,2.71,3.09,2.78,35.07,30.75,34.18,95.03,0.95,0.95,0.95
501067,2.11,3.41,3.47,44.91,27.79,27.31,94.75,0.95,0.95,0.95
500678,2.79,3.24,2.6,34.08,29.35,36.57,95.09,0.95,0.95,0.95
500305,2.93,3.22,2.51,32.50,29.57,37.93,95.21,0.95,0.95,0.95
501063,2.61,3.06,2.88,36.24,30.91,32.84,94.59,0.95,0.95,0.95
500891,1.8,3.66,4.53,52.93,26.03,21.03,95.28,0.95,0.95,0.95
